id,family,series,designation,display_name,nominal_pipe_size,major_diameter_mm,pitch_mm,tpi,profile_angle_deg,pitch_diameter_mm,minor_diameter_male_mm,tap_drill_mm,radial_thread_depth_mm,is_default_pitch,tap_drill_basis,depth_basis,standard_reference,source_url,profile_source_url,data_version,verification_status
bsp-g-1_1_4,bsp,G,G1-1/4,G1-1/4,"1-1/4""",41.910,2.309,11,55,40.431,38.952,39.50,1.479,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-1_3_8,bsp,G,G1-3/8,G1-3/8,"1-3/8""",44.323,2.309,11,55,42.844,41.365,41.50,1.479,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-1_1_2,bsp,G,G1-1/2,G1-1/2,"1-1/2""",47.803,2.309,11,55,46.324,44.845,45.00,1.479,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-1_3_4,bsp,G,G1-3/4,G1-3/4,"1-3/4""",53.746,2.309,11,55,52.267,50.788,51.00,1.479,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-2,bsp,G,G2,G2,"2""",59.614,2.309,11,55,58.135,56.656,57.00,1.479,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-2_1_4,bsp,G,G2-1/4,G2-1/4,"2-1/4""",65.710,2.309,11,55,64.231,62.752,63.00,1.479,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-2_1_2,bsp,G,G2-1/2,G2-1/2,"2-1/2""",75.184,2.309,11,55,73.705,72.226,72.50,1.479,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-2_3_4,bsp,G,G2-3/4,G2-3/4,"2-3/4""",81.534,2.309,11,55,80.055,78.576,79.00,1.479,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-3,bsp,G,G3,G3,"3""",87.884,2.309,11,55,86.405,84.926,85.50,1.479,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-3_1_2,bsp,G,G3-1/2,G3-1/2,"3-1/2""",100.330,2.309,11,55,98.851,97.372,98.00,1.479,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-4,bsp,G,G4,G4,"4""",113.030,2.309,11,55,111.551,110.072,111.00,1.479,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-4_1_2,bsp,G,G4-1/2,G4-1/2,"4-1/2""",125.730,2.309,11,55,124.251,122.772,123.50,1.479,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-5,bsp,G,G5,G5,"5""",138.430,2.309,11,55,136.951,135.472,136.00,1.479,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-5_1_2,bsp,G,G5-1/2,G5-1/2,"5-1/2""",151.130,2.309,11,55,149.651,148.172,149.00,1.479,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
bsp-g-6,bsp,G,G6,G6,"6""",163.830,2.309,11,55,162.351,160.872,161.50,1.479,true,published practical BSPP/G cutting-tap drill table,published Whitworth thread height,ISO 228 BSPP,https://www.ring-plug-thread-gages.com/PDChart/G-series-Fine-thread-data.html,https://www.engineeringtoolbox.com/G-R-Rp-Whitworth-thread-BSPP-BSPT-d_2035.html,2026-07-26-v2,engineering_dataset_not_certified
